##########################################
# Team Excelsior
# Bench Testing
# 
# Author: Emilia Holbik, Devon Griggs
# 
# This file provides the bench test for the robot
# deciding if it needs to make a tuple due to an
# upcoming right turn.
#
# (): sensor output read in by microcontroller and
#     already converted to a float which tells the
#     number of centimeters wall is away from sensor
# []: encoder output read in by microcontroller in
#     the form of number of ticks since the last time
#     encoder output was read
# $ : marks the end of the simulation
#
# Notes on Projected side of Minitaur v. 1.0:
#     9 cm long
#     9 cm wide
#     6 cm tall
##########################################
#
# Hardware-related information:
#  - L and R IR sensors can't see closer than 4 cm
#  - Assume that the sensors are at 45 degree angles
#    from the walls
#  - Assume that the IR sensors are 1 cm from the 
#    front of the robot
#  - Assume that the robot is 9 cm long and 9 cm wide
#  - Assume the diameter of 1 wheel is 31.2mm. Thus, the
#    circumference of 1 wheel is pi*d = 0.980 cm.
#
# Agent-related information:
#  - Assume that we want to call the AI to make a
#    decision as soon as we recognize that there is
#    a wall missing
#
# Emilia's calculations:
# Since the robot is 9 cm wide and the maze part is
# 16.8 cm, 16.8 - 9 = 7.8 cm wiggle room. The sensors
# can sense 2.8 cm immediately L and R. That leaves
# (7.8 - 2*2.8)/2 = 1.1 cm that is the buffer on either
# side, in which we don't have to auto correct yet. 
# Make it 1.0 cm for good measure, to be safe. 
# 
# 
# Format: (L, S, R)
#         [L, R]
#
# Robot starts out being exactly in the middle: 3.9 cm
# from the wall on either L or R side.
(5.515, 20.500, 5.515)
(5.515, 20.400, 5.515)
(5.515, 20.300, 5.515)
(5.515, 20.200, 5.515)
(5.515, 20.100, 5.515)
(5.515, 20.000, 5.515)
(5.515, 19.900, 5.515)
# At 18.6 cm, see absence of R wall
# Calculated by 18sqrt(2)+3.9sqrt(2)
(5.515, 18.600, 31.820)
(5.515, 18.500, 31.678)
(5.515, 18.400, 31.537)
# We wait 3 times of unexpected sensor input and then
# decide a tuple must be made, so call upon the encoders
# to give us this information in number of ticks.
# Assume that the last tuple was 3 units away (18*3=54cm);
# thus, there were 55 ticks since last read. However, Janel
# is doing this conversion for us, so we are reading in the
# number of centimeters.
[54, 54]
(5.515, 18.300, 31.396)
(5.515, 18.200, 31.254)
(5.515, 18.100, 31.113)
(5.515, 18.000, 30.971)
(5.515, 17.900, 30.830)
(5.515, 17.800, 30.688)
(5.515, 17.700, 30.547)
(5.515, 17.600, 30.406)
(5.515, 17.500, 30.264)
(5.515, 17.400, 30.123)
(5.515, 17.300, 29.981)
(5.515, 17.200, 29.840)
(5.515, 17.100, 29.698)
(5.515, 17.000, 29.557)
(5.515, 16.900, 29.416)
(5.515, 16.800, 29.274)
(5.515, 16.700, 29.133)
(5.515, 16.600, 28.991)
(5.515, 16.500, 28.850)
(5.515, 16.400, 28.709)
(5.515, 16.300, 28.567)
(5.515, 16.200, 28.426)
(5.515, 16.100, 28.284)
(5.515, 16.000, 28.143)
(5.515, 15.900, 28.001)
(5.515, 15.800, 27.860)
(5.515, 15.700, 27.719)
(5.515, 15.600, 27.577)
(5.515, 15.500, 27.436)
(5.515, 15.400, 27.294)
(5.515, 15.300, 27.153)
